date,NO2,NO2_cleaned,NO2_filled
2024-10-12,2.6512922e-05,2.6512922e-05,2.6512922e-05
2024-10-13,5.084385e-05,5.084385e-05,5.084385e-05
2024-10-14,4.371773e-05,4.371773e-05,4.371773e-05
2024-10-15,3.6591617e-05,3.6591617e-05,3.6591617e-05
2024-10-16,2.9465496e-05,2.9465496e-05,2.9465496e-05
2024-10-17,3.0481871e-05,3.0481871e-05,3.0481871e-05
2024-10-18,3.5787358e-05,3.5787358e-05,3.5787358e-05
2024-10-19,3.9610488e-05,3.9610488e-05,3.9610488e-05
2024-10-20,3.355023e-05,3.355023e-05,3.355023e-05
2024-10-21,2.7489965e-05,2.7489965e-05,2.7489965e-05
2024-10-22,2.14297e-05,2.14297e-05,2.14297e-05
2024-10-23,2.7634378e-05,2.7634378e-05,2.7634378e-05
2024-10-24,3.877144e-05,3.877144e-05,3.877144e-05
2024-10-25,4.4860928e-05,4.4860928e-05,4.4860928e-05
2024-10-26,4.9671024e-05,4.9671024e-05,4.9671024e-05
2024-10-27,4.7922676e-05,4.7922676e-05,4.7922676e-05
2024-10-28,5.0298015e-05,5.0298015e-05,5.0298015e-05
2024-10-29,4.941238e-05,4.941238e-05,4.941238e-05
2024-10-30,4.814938e-05,4.814938e-05,4.814938e-05
2024-10-31,4.684191e-05,4.684191e-05,4.684191e-05
2024-11-01,4.4264754e-05,4.4264754e-05,4.4264754e-05
2024-11-02,4.1687592e-05,4.1687592e-05,4.1687592e-05
2024-11-03,3.9110437e-05,3.9110437e-05,3.9110437e-05
2024-11-04,3.653328e-05,3.653328e-05,3.653328e-05
2024-11-05,3.3956123e-05,3.3956123e-05,3.3956123e-05
2024-11-06,3.1378968e-05,3.1378968e-05,3.1378968e-05
2024-11-07,6.8065136e-05,,3.8826615999999996e-05
2024-11-08,6.57666e-05,,4.6274264e-05
2024-11-09,6.3468084e-05,,5.3721912e-05
2024-11-10,6.116956e-05,6.116956e-05,6.116956e-05
2024-11-11,5.8871028e-05,5.8871028e-05,5.8871028e-05
2024-11-12,5.65725e-05,5.65725e-05,5.65725e-05
2024-11-13,5.483304e-05,5.483304e-05,5.483304e-05
2024-11-14,5.4309527e-05,5.4309527e-05,5.4309527e-05
2024-11-15,5.378602e-05,5.378602e-05,5.378602e-05
2024-11-16,5.2486117e-05,5.2486117e-05,5.2486117e-05
2024-11-17,5.1186216e-05,5.1186216e-05,5.1186216e-05
2024-11-18,4.988631e-05,4.988631e-05,4.988631e-05
2024-11-19,4.8840564e-05,4.8840564e-05,4.8840564e-05
2024-11-20,4.7794816e-05,4.7794816e-05,4.7794816e-05
